LECROYWS4054HD,18796,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,04-Sep-2025 14:52:55,0                 
Time,Ampl
-4.001212e-007,0.04862065
-3.997212e-007,0.04673834
-3.993212e-007,0.04944416
-3.989212e-007,0.05132646
-3.985212e-007,0.05109117
-3.981212e-007,0.04909122
-3.977212e-007,0.04803243
-3.973212e-007,0.04885594
-3.969212e-007,0.05038531
-3.965212e-007,0.05073824
-3.961212e-007,0.04979709
-3.957212e-007,0.04815007
-3.953212e-007,0.04732656
-3.949212e-007,0.04779714
-3.945212e-007,0.04838536
-3.941212e-007,0.04862065
-3.937212e-007,0.04932651
-3.933212e-007,0.0495618
-3.929212e-007,0.0495618
-3.925212e-007,0.04909122
-3.921212e-007,0.04732656
-3.917212e-007,0.04544426
-3.913212e-007,0.04567955
-3.909212e-007,0.04803243
-3.905212e-007,0.05356169
-3.901212e-007,0.05979682
-3.897212e-007,0.06297321
-3.893212e-007,0.0602674
-3.889212e-007,0.05285583
-3.885212e-007,0.04462075
-3.881212e-007,0.04026793
-3.877212e-007,0.04215023
-3.873212e-007,0.04779714
-3.869212e-007,0.05285583
-3.865212e-007,0.05426756
-3.861212e-007,0.05414991
-3.857212e-007,0.05426756
-3.853212e-007,0.05426756
-3.849212e-007,0.05379698
-3.845212e-007,0.05214997
-3.841212e-007,0.04979709
-3.837212e-007,0.04756185
-3.833212e-007,0.0447384
-3.829212e-007,0.039915
-3.825212e-007,0.0369739
-3.821212e-007,0.03803269
-3.817212e-007,0.04438547
-3.813212e-007,0.05320876
-3.809212e-007,0.05979682
-3.805212e-007,0.05944389
-3.801212e-007,0.05309112
-3.797212e-007,0.04520897
-3.793212e-007,0.04285609
-3.789212e-007,0.0466207
-3.785212e-007,0.05356169
-3.781212e-007,0.05685573
-3.777212e-007,0.05462049
-3.773212e-007,0.04815007
-3.769212e-007,0.04403253
-3.765212e-007,0.04532662
-3.761212e-007,0.05085588
-3.757212e-007,0.05556164
-3.753212e-007,0.05614986
-3.749212e-007,0.05203232
-3.745212e-007,0.04709128
-3.741212e-007,0.04438547
-3.737212e-007,0.04438547
-3.733212e-007,0.04520897
-3.729212e-007,0.0447384
-3.725212e-007,0.04415018
-3.721212e-007,0.04579719
-3.717212e-007,0.04991473
-3.713212e-007,0.05450285
-3.709212e-007,0.05556164
-3.705212e-007,0.05179703
-3.701212e-007,0.04579719
-3.697212e-007,0.04438547
-3.693212e-007,0.04979709
-3.689212e-007,0.05791452
-3.685212e-007,0.06285557
-3.681212e-007,0.05944389
-3.677212e-007,0.0506206
-3.673212e-007,0.04226787
-3.669212e-007,0.0388562
-3.665212e-007,0.04062086
-3.661212e-007,0.04556191
-3.657212e-007,0.05120882
-3.653212e-007,0.05320876
-3.649212e-007,0.05203232
-3.645212e-007,0.04779714
-3.641212e-007,0.04415018
-3.637212e-007,0.04438547
-3.633212e-007,0.04979709
-3.629212e-007,0.05603222
-3.625212e-007,0.05744395
-3.621212e-007,0.05309112
-3.617212e-007,0.04556191
-3.613212e-007,0.04003264
-3.609212e-007,0.04262081
-3.605212e-007,0.05191468
-3.601212e-007,0.0613262
-3.597212e-007,0.06579667
-3.593212e-007,0.06450258
-3.589212e-007,0.06038504
-3.585212e-007,0.05509107
-3.581212e-007,0.05109117
-3.577212e-007,0.0476795
-3.573212e-007,0.04450311
-3.569212e-007,0.04262081
-3.565212e-007,0.04356196
-3.561212e-007,0.04697363
-3.557212e-007,0.0506206
-3.553212e-007,0.05191468
-3.549212e-007,0.04920887
-3.545212e-007,0.04544426
-3.541212e-007,0.0447384
-3.537212e-007,0.04944416
-3.533212e-007,0.05662044
-3.529212e-007,0.06073798
-3.525212e-007,0.05850274
-3.521212e-007,0.05273819
-3.517212e-007,0.04779714
-3.513212e-007,0.04756185
-3.509212e-007,0.048503
-3.505212e-007,0.04638541
-3.501212e-007,0.04109143
-3.497212e-007,0.03873856
-3.493212e-007,0.04356196
-3.489212e-007,0.05391463
-3.485212e-007,0.06120855
-3.481212e-007,0.05814981
-3.477212e-007,0.04744421
-3.473212e-007,0.03732683
-3.469212e-007,0.03415044
-3.465212e-007,0.03826798
-3.461212e-007,0.04497369
-3.457212e-007,0.04803243
-3.453212e-007,0.0466207
-3.449212e-007,0.04497369
-3.445212e-007,0.0466207
-3.441212e-007,0.05085588
-3.437212e-007,0.05626751
-3.433212e-007,0.05967918
-3.429212e-007,0.05885567
-3.425212e-007,0.05403227
-3.421212e-007,0.04744421
-3.417212e-007,0.04320903
-3.413212e-007,0.04462075
-3.409212e-007,0.05015002
-3.405212e-007,0.05414991
-3.401212e-007,0.05367934
-3.397212e-007,0.04779714
-3.393212e-007,0.04238552
-3.389212e-007,0.04226787
-3.385212e-007,0.04779714
-3.381212e-007,0.05462049
-3.377212e-007,0.05744395
-3.373212e-007,0.05485578
-3.369212e-007,0.05015002
-3.365212e-007,0.04744421
-3.361212e-007,0.0476795
-3.357212e-007,0.04779714
-3.353212e-007,0.04697363
-3.349212e-007,0.04509133
-3.345212e-007,0.04285609
-3.341212e-007,0.04226787
-3.337212e-007,0.04391489
-3.333212e-007,0.04603248
-3.329212e-007,0.04944416
-3.325212e-007,0.05297347
-3.321212e-007,0.05626751
-3.317212e-007,0.0573263
-3.313212e-007,0.05579693
-3.309212e-007,0.0506206
-3.305212e-007,0.04203259
-3.301212e-007,0.03497395
-3.297212e-007,0.03262107
-3.293212e-007,0.03497395
-3.289212e-007,0.04156201
-3.285212e-007,0.04815007
-3.281212e-007,0.05285583
-3.277212e-007,0.05520871
-3.273212e-007,0.05603222
-3.269212e-007,0.05532635
-3.265212e-007,0.05262054
-3.261212e-007,0.04673834
-3.257212e-007,0.04167965
-3.253212e-007,0.04144437
-3.249212e-007,0.04403253
-3.245212e-007,0.04579719
-3.241212e-007,0.04497369
-3.237212e-007,0.04356196
-3.233212e-007,0.04438547
-3.229212e-007,0.04838536
-3.225212e-007,0.05273819
-3.221212e-007,0.05332641
-3.217212e-007,0.05015002
-3.213212e-007,0.04638541
-3.209212e-007,0.0447384
-3.205212e-007,0.04556191
-3.201212e-007,0.04709128
-3.197212e-007,0.0495618
-3.193212e-007,0.05367934
-3.189212e-007,0.05744395
-3.185212e-007,0.05956154
-3.181212e-007,0.05885567
-3.177212e-007,0.05473813
-3.173212e-007,0.05026766
-3.169212e-007,0.04873829
-3.165212e-007,0.04967944
-3.161212e-007,0.05120882
-3.157212e-007,0.05109117
-3.153212e-007,0.04815007
-3.149212e-007,0.04485604
-3.145212e-007,0.04320903
-3.141212e-007,0.0436796
-3.137212e-007,0.04638541
-3.133212e-007,0.04932651
-3.129212e-007,0.05073824
-3.125212e-007,0.04944416
-3.121212e-007,0.04638541
-3.117212e-007,0.04356196
-3.113212e-007,0.04238552
-3.109212e-007,0.04509133
-3.105212e-007,0.04991473
-3.101212e-007,0.05273819
-3.097212e-007,0.05214997
-3.093212e-007,0.04885594
-3.089212e-007,0.04450311
-3.085212e-007,0.04262081
-3.081212e-007,0.0447384
-3.077212e-007,0.04897358
-3.073212e-007,0.05332641
-3.069212e-007,0.05579693
-3.065212e-007,0.05650279
-3.061212e-007,0.05673808
-3.057212e-007,0.05709101
-3.053212e-007,0.05509107
-3.049212e-007,0.05026766
-3.045212e-007,0.0436796
-3.041212e-007,0.03826798
-3.037212e-007,0.03767976
-3.033212e-007,0.04167965
-3.029212e-007,0.04567955
-3.025212e-007,0.04615012
-3.021212e-007,0.04203259
-3.017212e-007,0.03767976
-3.013212e-007,0.03744447
-3.009212e-007,0.04497369
-3.005212e-007,0.05414991
-3.001212e-007,0.0602674
-2.997212e-007,0.05956154
-2.993212e-007,0.05309112
-2.989212e-007,0.04626777
-2.985212e-007,0.04144437
-2.981212e-007,0.04038557
-2.977212e-007,0.04332667
-2.973212e-007,0.04732656
-2.969212e-007,0.05003238
-2.965212e-007,0.04944416
-2.961212e-007,0.04744421
-2.957212e-007,0.0466207
-2.953212e-007,0.04732656
-2.949212e-007,0.04991473
-2.945212e-007,0.05191468
-2.941212e-007,0.05038531
-2.937212e-007,0.04838536
-2.933212e-007,0.04862065
-2.929212e-007,0.05109117
-2.925212e-007,0.05297347
-2.921212e-007,0.05120882
-2.917212e-007,0.04803243
-2.913212e-007,0.0476795
-2.909212e-007,0.0514441
-2.905212e-007,0.05673808
-2.901212e-007,0.05744395
-2.897212e-007,0.05191468
-2.893212e-007,0.04426782
-2.889212e-007,0.04038557
-2.885212e-007,0.0417973
-2.881212e-007,0.04603248
-2.877212e-007,0.04732656
-2.873212e-007,0.04626777
-2.869212e-007,0.04509133
-2.865212e-007,0.04720892
-2.861212e-007,0.05156175
-2.857212e-007,0.05497342
-2.853212e-007,0.05497342
-2.849212e-007,0.05120882
-2.845212e-007,0.04532662
-2.841212e-007,0.04050321
-2.837212e-007,0.03873856
-2.833212e-007,0.039915
-2.829212e-007,0.04356196
-2.825212e-007,0.04873829
-2.821212e-007,0.05320876
-2.817212e-007,0.05509107
-2.813212e-007,0.05450285
-2.809212e-007,0.05156175
-2.805212e-007,0.04744421
-2.801212e-007,0.04497369
-2.797212e-007,0.04497369
-2.793212e-007,0.0466207
-2.789212e-007,0.04732656
-2.785212e-007,0.04532662
-2.781212e-007,0.04156201
-2.777212e-007,0.03873856
-2.773212e-007,0.04003264
-2.769212e-007,0.04591484
-2.765212e-007,0.05238525
-2.761212e-007,0.05567929
-2.757212e-007,0.05391463
-2.753212e-007,0.05038531
-2.749212e-007,0.04803243
-2.745212e-007,0.04862065
-2.741212e-007,0.05026766
-2.737212e-007,0.05003238
-2.733212e-007,0.04826772
-2.729212e-007,0.04685599
-2.725212e-007,0.04756185
-2.721212e-007,0.04991473
-2.717212e-007,0.05191468
-2.713212e-007,0.05297347
-2.709212e-007,0.05214997
-2.705212e-007,0.05085588
-2.701212e-007,0.04897358
-2.697212e-007,0.0466207
-2.693212e-007,0.04379725
-2.689212e-007,0.04285609
-2.685212e-007,0.04509133
-2.681212e-007,0.04979709
-2.677212e-007,0.05309112
-2.673212e-007,0.05391463
-2.669212e-007,0.05367934
-2.665212e-007,0.05379698
-2.661212e-007,0.05556164
-2.657212e-007,0.05673808
-2.653212e-007,0.05497342
-2.649212e-007,0.05262054
-2.645212e-007,0.05097353
-2.641212e-007,0.04909122
-2.637212e-007,0.04591484
-2.633212e-007,0.04285609
-2.629212e-007,0.04167965
-2.625212e-007,0.04509133
-2.621212e-007,0.05015002
-2.617212e-007,0.05073824
-2.613212e-007,0.0447384
-2.609212e-007,0.03497395
-2.605212e-007,0.02932704
-2.601212e-007,0.03226814
-2.597212e-007,0.04003264
-2.593212e-007,0.04556191
-2.589212e-007,0.04462075
-2.585212e-007,0.04226787
-2.581212e-007,0.0447384
-2.577212e-007,0.05120882
-2.573212e-007,0.05744395
-2.569212e-007,0.05850274
-2.565212e-007,0.05426756
-2.561212e-007,0.04909122
-2.557212e-007,0.04556191
-2.553212e-007,0.04509133
-2.549212e-007,0.04579719
-2.545212e-007,0.04720892
-2.541212e-007,0.04791478
-2.537212e-007,0.04838536
-2.533212e-007,0.04909122
-2.529212e-007,0.04897358
-2.525212e-007,0.04862065
-2.521212e-007,0.04803243
-2.517212e-007,0.04509133
-2.513212e-007,0.0407385
-2.509212e-007,0.03709154
-2.505212e-007,0.03767976
-2.501212e-007,0.04273845
-2.497212e-007,0.05085588
-2.493212e-007,0.05638515
-2.489212e-007,0.05756159
-2.485212e-007,0.05414991
-2.481212e-007,0.0495618
-2.477212e-007,0.04673834
-2.473212e-007,0.04744421
-2.469212e-007,0.05015002
-2.465212e-007,0.05167939
-2.461212e-007,0.05015002
-2.457212e-007,0.0447384
-2.453212e-007,0.03979735
-2.449212e-007,0.04003264
-2.445212e-007,0.04391489
-2.441212e-007,0.04873829
-2.437212e-007,0.04944416
-2.433212e-007,0.04591484
-2.429212e-007,0.04132672
-2.425212e-007,0.03956206
-2.421212e-007,0.04215023
-2.417212e-007,0.04697363
-2.413212e-007,0.05097353
-2.409212e-007,0.05156175
-2.405212e-007,0.05038531
-2.401212e-007,0.04979709
-2.397212e-007,0.0495618
-2.393212e-007,0.04909122
-2.389212e-007,0.04697363
-2.385212e-007,0.04285609
-2.381212e-007,0.03909149
-2.377212e-007,0.03838562
-2.373212e-007,0.04191494
-2.369212e-007,0.04791478
-2.365212e-007,0.05426756
-2.361212e-007,0.05697337
-2.357212e-007,0.055444
-2.353212e-007,0.05073824
-2.349212e-007,0.04685599
-2.345212e-007,0.04544426
-2.341212e-007,0.04544426
-2.337212e-007,0.04603248
-2.333212e-007,0.04650306
-2.329212e-007,0.04826772
-2.325212e-007,0.05073824
-2.321212e-007,0.05273819
-2.317212e-007,0.05344405
-2.313212e-007,0.05097353
-2.309212e-007,0.04544426
-2.305212e-007,0.03979735
-2.301212e-007,0.03673861
-2.297212e-007,0.03767976
-2.293212e-007,0.04050321
-2.289212e-007,0.04344431
-2.285212e-007,0.04450311
-2.281212e-007,0.04438547
-2.277212e-007,0.04485604
-2.273212e-007,0.04756185
-2.269212e-007,0.05109117
-2.265212e-007,0.05262054
-2.261212e-007,0.05097353
-2.257212e-007,0.04873829
-2.253212e-007,0.04791478
-2.249212e-007,0.04909122
-2.245212e-007,0.04979709
-2.241212e-007,0.04967944
-2.237212e-007,0.048503
-2.233212e-007,0.04920887
-2.229212e-007,0.05285583
-2.225212e-007,0.0573263
-2.221212e-007,0.05803216
-2.217212e-007,0.05414991
-2.213212e-007,0.04779714
-2.209212e-007,0.04309138
-2.205212e-007,0.04403253
-2.201212e-007,0.04991473
-2.197212e-007,0.05673808
-2.193212e-007,0.06085562
-2.189212e-007,0.05909096
-2.185212e-007,0.05297347
-2.181212e-007,0.04803243
-2.177212e-007,0.04732656
-2.173212e-007,0.05003238
-2.169212e-007,0.0506206
-2.165212e-007,0.04638541
-2.161212e-007,0.04015028
-2.157212e-007,0.03826798
-2.153212e-007,0.04379725
-2.149212e-007,0.05320876
-2.145212e-007,0.06003211
-2.141212e-007,0.05909096
-2.137212e-007,0.05450285
-2.133212e-007,0.04979709
-2.129212e-007,0.04709128
-2.125212e-007,0.0447384
-2.121212e-007,0.04273845
-2.117212e-007,0.04132672
-2.113212e-007,0.04191494
-2.109212e-007,0.04426782
-2.105212e-007,0.0476795
-2.101212e-007,0.04920887
-2.097212e-007,0.04932651
-2.093212e-007,0.04791478
-2.089212e-007,0.04603248
-2.085212e-007,0.0447384
-2.081212e-007,0.04391489
-2.077212e-007,0.04462075
-2.073212e-007,0.04697363
-2.069212e-007,0.04897358
-2.065212e-007,0.04920887
-2.061212e-007,0.04685599
-2.057212e-007,0.04320903
-2.053212e-007,0.03967971
-2.049212e-007,0.03862091
-2.045212e-007,0.04097379
-2.041212e-007,0.04509133
-2.037212e-007,0.04803243
-2.033212e-007,0.04920887
-2.029212e-007,0.04944416
-2.025212e-007,0.04967944
-2.021212e-007,0.0506206
-2.017212e-007,0.05097353
-2.013212e-007,0.04991473
-2.009212e-007,0.04897358
-2.005212e-007,0.048503
-2.001212e-007,0.04897358
-1.997212e-007,0.04944416
-1.993212e-007,0.04756185
-1.989212e-007,0.04273845
-1.985212e-007,0.03862091
-1.981212e-007,0.03650332
-1.977212e-007,0.03803269
-1.973212e-007,0.04120908
-1.969212e-007,0.04262081
-1.965212e-007,0.04109143
-1.961212e-007,0.03920913
-1.957212e-007,0.03932678
-1.953212e-007,0.04167965
-1.949212e-007,0.04697363
-1.945212e-007,0.05273819
-1.941212e-007,0.055444
