LECROYWS4054HD,18796,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,04-Sep-2025 14:52:55,0                 
Time,Ampl
-4.001132e-007,0.1380051
-3.997132e-007,0.133064
-3.993132e-007,0.12977
-3.989132e-007,0.1316523
-3.985132e-007,0.1351816
-3.981132e-007,0.1361228
-3.977132e-007,0.1365933
-3.973132e-007,0.1358875
-3.969132e-007,0.1344757
-3.965132e-007,0.1335346
-3.961132e-007,0.12977
-3.957132e-007,0.1241231
-3.953132e-007,0.1215349
-3.949132e-007,0.1250642
-3.945132e-007,0.1344757
-3.941132e-007,0.1443578
-3.937132e-007,0.1478872
-3.933132e-007,0.1462401
-3.929132e-007,0.1415344
-3.925132e-007,0.1354169
-3.921132e-007,0.1328287
-3.917132e-007,0.133064
-3.913132e-007,0.1325934
-3.909132e-007,0.1318876
-3.905132e-007,0.1304758
-3.901132e-007,0.1288288
-3.897132e-007,0.1276524
-3.893132e-007,0.1290641
-3.889132e-007,0.1325934
-3.885132e-007,0.1349463
-3.881132e-007,0.1332993
-3.877132e-007,0.1274171
-3.873132e-007,0.1215349
-3.869132e-007,0.1220055
-3.865132e-007,0.1269465
-3.861132e-007,0.133064
-3.857132e-007,0.1377698
-3.853132e-007,0.1382403
-3.849132e-007,0.1380051
-3.845132e-007,0.1401227
-3.841132e-007,0.1431814
-3.837132e-007,0.1441225
-3.833132e-007,0.1408285
-3.829132e-007,0.1356522
-3.825132e-007,0.12977
-3.821132e-007,0.1248289
-3.817132e-007,0.1231819
-3.813132e-007,0.1248289
-3.809132e-007,0.1260054
-3.805132e-007,0.128123
-3.801132e-007,0.1316523
-3.797132e-007,0.1358875
-3.793132e-007,0.1389462
-3.789132e-007,0.1391815
-3.785132e-007,0.136358
-3.781132e-007,0.131417
-3.777132e-007,0.128123
-3.773132e-007,0.1302406
-3.769132e-007,0.1365933
-3.765132e-007,0.1441225
-3.761132e-007,0.1462401
-3.757132e-007,0.1403579
-3.753132e-007,0.12977
-3.749132e-007,0.1212996
-3.745132e-007,0.1168291
-3.741132e-007,0.1172997
-3.737132e-007,0.1203585
-3.733132e-007,0.1238878
-3.729132e-007,0.126476
-3.725132e-007,0.1290641
-3.721132e-007,0.1344757
-3.717132e-007,0.1384756
-3.713132e-007,0.1389462
-3.709132e-007,0.1365933
-3.705132e-007,0.1318876
-3.701132e-007,0.128123
-3.697132e-007,0.1271818
-3.693132e-007,0.1292994
-3.689132e-007,0.1323581
-3.685132e-007,0.1340052
-3.681132e-007,0.1337699
-3.677132e-007,0.1332993
-3.673132e-007,0.1342405
-3.669132e-007,0.1351816
-3.665132e-007,0.136358
-3.661132e-007,0.1370639
-3.657132e-007,0.1372992
-3.653132e-007,0.1361228
-3.649132e-007,0.1335346
-3.645132e-007,0.1323581
-3.641132e-007,0.133064
-3.637132e-007,0.1356522
-3.633132e-007,0.1382403
-3.629132e-007,0.1375345
-3.625132e-007,0.133064
-3.621132e-007,0.1274171
-3.617132e-007,0.1267112
-3.613132e-007,0.1332993
-3.609132e-007,0.1401227
-3.605132e-007,0.1415344
-3.601132e-007,0.1370639
-3.597132e-007,0.1316523
-3.593132e-007,0.1290641
-3.589132e-007,0.1309464
-3.585132e-007,0.1335346
-3.581132e-007,0.1332993
-3.577132e-007,0.1311817
-3.573132e-007,0.1302406
-3.569132e-007,0.1325934
-3.565132e-007,0.1354169
-3.561132e-007,0.1351816
-3.557132e-007,0.1332993
-3.553132e-007,0.131417
-3.549132e-007,0.1304758
-3.545132e-007,0.1300053
-3.541132e-007,0.1318876
-3.537132e-007,0.1325934
-3.533132e-007,0.1328287
-3.529132e-007,0.1344757
-3.525132e-007,0.1342405
-3.521132e-007,0.1321229
-3.517132e-007,0.1309464
-3.513132e-007,0.1304758
-3.509132e-007,0.1321229
-3.505132e-007,0.1342405
-3.501132e-007,0.1351816
-3.497132e-007,0.1356522
-3.493132e-007,0.1387109
-3.489132e-007,0.1431814
-3.485132e-007,0.1460048
-3.481132e-007,0.1448284
-3.477132e-007,0.1401227
-3.473132e-007,0.1340052
-3.469132e-007,0.1307111
-3.465132e-007,0.1332993
-3.461132e-007,0.1368286
-3.457132e-007,0.1391815
-3.453132e-007,0.1412991
-3.449132e-007,0.142005
-3.445132e-007,0.1415344
-3.441132e-007,0.1401227
-3.437132e-007,0.1391815
-3.433132e-007,0.1387109
-3.429132e-007,0.136358
-3.425132e-007,0.1295347
-3.421132e-007,0.1222408
-3.417132e-007,0.1180056
-3.413132e-007,0.1205938
-3.409132e-007,0.131417
-3.405132e-007,0.1424755
-3.401132e-007,0.1464754
-3.397132e-007,0.1415344
-3.393132e-007,0.134711
-3.389132e-007,0.1318876
-3.385132e-007,0.1332993
-3.381132e-007,0.1368286
-3.377132e-007,0.1375345
-3.373132e-007,0.1351816
-3.369132e-007,0.131417
-3.365132e-007,0.12977
-3.361132e-007,0.1311817
-3.357132e-007,0.1332993
-3.353132e-007,0.1351816
-3.349132e-007,0.1358875
-3.345132e-007,0.1351816
-3.341132e-007,0.1335346
-3.337132e-007,0.1300053
-3.333132e-007,0.1262407
-3.329132e-007,0.1241231
-3.325132e-007,0.1248289
-3.321132e-007,0.128123
-3.317132e-007,0.1335346
-3.313132e-007,0.1377698
-3.309132e-007,0.1408285
-3.305132e-007,0.1431814
-3.301132e-007,0.1431814
-3.297132e-007,0.1394168
-3.293132e-007,0.1349463
-3.289132e-007,0.1311817
-3.285132e-007,0.1304758
-3.281132e-007,0.1316523
-3.277132e-007,0.1354169
-3.273132e-007,0.1387109
-3.269132e-007,0.1382403
-3.265132e-007,0.1342405
-3.261132e-007,0.1318876
-3.257132e-007,0.1342405
-3.253132e-007,0.1410638
-3.249132e-007,0.1476519
-3.245132e-007,0.1467107
-3.241132e-007,0.1380051
-3.237132e-007,0.12977
-3.233132e-007,0.1276524
-3.229132e-007,0.1332993
-3.225132e-007,0.1412991
-3.221132e-007,0.1438873
-3.217132e-007,0.1389462
-3.213132e-007,0.1311817
-3.209132e-007,0.1271818
-3.205132e-007,0.1283583
-3.201132e-007,0.133064
-3.197132e-007,0.1372992
-3.193132e-007,0.1375345
-3.189132e-007,0.1351816
-3.185132e-007,0.1332993
-3.181132e-007,0.1332993
-3.177132e-007,0.134711
-3.173132e-007,0.1375345
-3.169132e-007,0.1387109
-3.165132e-007,0.1396521
-3.161132e-007,0.1417697
-3.157132e-007,0.1427108
-3.153132e-007,0.1415344
-3.149132e-007,0.1382403
-3.145132e-007,0.1340052
-3.141132e-007,0.1304758
-3.137132e-007,0.1292994
-3.133132e-007,0.1302406
-3.129132e-007,0.1318876
-3.125132e-007,0.133064
-3.121132e-007,0.1325934
-3.117132e-007,0.1323581
-3.113132e-007,0.1340052
-3.109132e-007,0.1365933
-3.105132e-007,0.1401227
-3.101132e-007,0.1410638
-3.097132e-007,0.1384756
-3.093132e-007,0.1337699
-3.089132e-007,0.1288288
-3.085132e-007,0.1257701
-3.081132e-007,0.1250642
-3.077132e-007,0.1257701
-3.073132e-007,0.1283583
-3.069132e-007,0.1307111
-3.065132e-007,0.1318876
-3.061132e-007,0.1349463
-3.057132e-007,0.1377698
-3.053132e-007,0.1372992
-3.049132e-007,0.1309464
-3.045132e-007,0.1227113
-3.041132e-007,0.1187115
-3.037132e-007,0.1212996
-3.033132e-007,0.12977
-3.029132e-007,0.1396521
-3.025132e-007,0.143652
-3.021132e-007,0.1389462
-3.017132e-007,0.1321229
-3.013132e-007,0.1278877
-3.009132e-007,0.1283583
-3.005132e-007,0.131417
-3.001132e-007,0.1337699
-2.997132e-007,0.1344757
-2.993132e-007,0.134711
-2.989132e-007,0.1351816
-2.985132e-007,0.1361228
-2.981132e-007,0.1354169
-2.977132e-007,0.1332993
-2.973132e-007,0.1323581
-2.969132e-007,0.1344757
-2.965132e-007,0.1380051
-2.961132e-007,0.1396521
-2.957132e-007,0.1387109
-2.953132e-007,0.1354169
-2.949132e-007,0.1307111
-2.945132e-007,0.1285935
-2.941132e-007,0.1288288
-2.937132e-007,0.1300053
-2.933132e-007,0.1309464
-2.929132e-007,0.1309464
-2.925132e-007,0.1304758
-2.921132e-007,0.1307111
-2.917132e-007,0.1335346
-2.913132e-007,0.1368286
-2.909132e-007,0.136358
-2.905132e-007,0.1300053
-2.901132e-007,0.1224761
-2.897132e-007,0.120829
-2.893132e-007,0.126476
-2.889132e-007,0.1344757
-2.885132e-007,0.1370639
-2.881132e-007,0.1321229
-2.877132e-007,0.1255348
-2.873132e-007,0.1238878
-2.869132e-007,0.1262407
-2.865132e-007,0.12977
-2.861132e-007,0.1300053
-2.857132e-007,0.126476
-2.853132e-007,0.1257701
-2.849132e-007,0.1304758
-2.845132e-007,0.1375345
-2.841132e-007,0.1415344
-2.837132e-007,0.1412991
-2.833132e-007,0.1387109
-2.829132e-007,0.1372992
-2.825132e-007,0.1377698
-2.821132e-007,0.1380051
-2.817132e-007,0.1365933
-2.813132e-007,0.134711
-2.809132e-007,0.1318876
-2.805132e-007,0.1316523
-2.801132e-007,0.1323581
-2.797132e-007,0.133064
-2.793132e-007,0.1325934
-2.789132e-007,0.1300053
-2.785132e-007,0.1245936
-2.781132e-007,0.1194173
-2.777132e-007,0.1165939
-2.773132e-007,0.1180056
-2.769132e-007,0.1227113
-2.765132e-007,0.1278877
-2.761132e-007,0.1318876
-2.757132e-007,0.1335346
-2.753132e-007,0.1344757
-2.749132e-007,0.1370639
-2.745132e-007,0.1382403
-2.741132e-007,0.1375345
-2.737132e-007,0.1377698
-2.733132e-007,0.1403579
-2.729132e-007,0.1431814
-2.725132e-007,0.1445931
-2.721132e-007,0.1427108
-2.717132e-007,0.1380051
-2.713132e-007,0.1342405
-2.709132e-007,0.1342405
-2.705132e-007,0.1384756
-2.701132e-007,0.143652
-2.697132e-007,0.1450637
-2.693132e-007,0.1401227
-2.689132e-007,0.1337699
-2.685132e-007,0.1302406
-2.681132e-007,0.1304758
-2.677132e-007,0.1344757
-2.673132e-007,0.1391815
-2.669132e-007,0.1415344
-2.665132e-007,0.1396521
-2.661132e-007,0.1340052
-2.657132e-007,0.1285935
-2.653132e-007,0.128123
-2.649132e-007,0.1311817
-2.645132e-007,0.1349463
-2.641132e-007,0.1370639
-2.637132e-007,0.1356522
-2.633132e-007,0.1323581
-2.629132e-007,0.1283583
-2.625132e-007,0.1269465
-2.621132e-007,0.1288288
-2.617132e-007,0.1321229
-2.613132e-007,0.1365933
-2.609132e-007,0.1422402
-2.605132e-007,0.1434167
-2.601132e-007,0.1391815
-2.597132e-007,0.1328287
-2.593132e-007,0.1307111
-2.589132e-007,0.1354169
-2.585132e-007,0.1412991
-2.581132e-007,0.1441225
-2.577132e-007,0.1412991
-2.573132e-007,0.1351816
-2.569132e-007,0.1321229
-2.565132e-007,0.134711
-2.561132e-007,0.1387109
-2.557132e-007,0.1403579
-2.553132e-007,0.1380051
-2.549132e-007,0.1358875
-2.545132e-007,0.1344757
-2.541132e-007,0.1337699
-2.537132e-007,0.1328287
-2.533132e-007,0.1321229
-2.529132e-007,0.1323581
-2.525132e-007,0.1335346
-2.521132e-007,0.1356522
-2.517132e-007,0.1382403
-2.513132e-007,0.1375345
-2.509132e-007,0.1344757
-2.505132e-007,0.1323581
-2.501132e-007,0.133064
-2.497132e-007,0.1361228
-2.493132e-007,0.1394168
-2.489132e-007,0.1405932
-2.485132e-007,0.1380051
-2.481132e-007,0.134711
-2.477132e-007,0.1316523
-2.473132e-007,0.1307111
-2.469132e-007,0.1337699
-2.465132e-007,0.1375345
-2.461132e-007,0.1401227
-2.457132e-007,0.1401227
-2.453132e-007,0.1377698
-2.449132e-007,0.1351816
-2.445132e-007,0.133064
