LECROYWS4054HD,18796,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,04-Sep-2025 12:30:06,0                 
Time,Ampl
-1.000708e-006,-0.0043159258
-9.98708e-007,-0.0010689525
-9.96708e-007,-0.00097483737
-9.94708e-007,0.0024603662
-9.92708e-007,0.00071923563
-9.90708e-007,-0.0032336014
-9.88708e-007,0.00316623
-9.86708e-007,-0.0014924708
-9.84708e-007,-0.00041014637
-9.82708e-007,0.0016603873
-9.80708e-007,0.0013309842
-9.78708e-007,-0.0025277376
-9.76708e-007,-0.00097483737
-9.74708e-007,-8.0743284e-005
-9.72708e-007,-0.0029512559
-9.70708e-007,-0.0018689315
-9.68708e-007,0.00043689013
-9.66708e-007,0.0037779786
-9.64708e-007,-0.0015395284
-9.62708e-007,0.0005310053
-9.60708e-007,-0.00012780087
-9.58708e-007,-3.3685701e-005
-9.56708e-007,0.00034277497
-9.54708e-007,-0.0024336225
-9.52708e-007,0.0030250572
-9.50708e-007,-0.0010689525
-9.48708e-007,-0.00078660704
-9.46708e-007,-0.001351298
-9.44708e-007,-0.0014454132
-9.42708e-007,0.00010748705
-9.40708e-007,0.00034277497
-9.38708e-007,-0.0019630466
-9.36708e-007,0.0038720937
-9.34708e-007,0.00062512047
-9.32708e-007,-0.0021983345
-9.30708e-007,-0.002715968
-9.28708e-007,0.0018956752
-9.26708e-007,-0.0034218317
-9.24708e-007,-8.0743284e-005
-9.22708e-007,-0.00026897362
-9.20708e-007,-0.0037041772
-9.18708e-007,-3.3685701e-005
-9.16708e-007,0.0019897904
-9.14708e-007,-0.0035630045
-9.12708e-007,0.0018015601
-9.10708e-007,-0.0021042194
-9.08708e-007,0.0012839266
-9.06708e-007,-0.0012101253
-9.04708e-007,0.00010748705
-9.02708e-007,-0.0012571829
-9.00708e-007,0.0005310053
-8.98708e-007,-0.0025277376
-8.96708e-007,-0.0022924497
-8.94708e-007,0.00062512047
-8.92708e-007,0.0033074027
-8.90708e-007,0.00015454463
-8.88708e-007,-0.0028571407
-8.86708e-007,0.0012368691
-8.84708e-007,0.0015662721
-8.82708e-007,-0.00064543429
-8.80708e-007,-0.0031865438
-8.78708e-007,0.00076629322
-8.76708e-007,0.00090746597
-8.74708e-007,-0.00097483737
-8.72708e-007,-0.00092777979
-8.70708e-007,-0.0022924497
-8.68708e-007,-0.0012101253
-8.66708e-007,6.0429466e-005
-8.64708e-007,0.0012839266
-8.62708e-007,-0.0037512348
-8.60708e-007,0.0024603662
-8.58708e-007,-0.0017277587
-8.56708e-007,-0.0017748163
-8.54708e-007,-0.002151277
-8.52708e-007,-0.00078660704
-8.50708e-007,0.0027897693
-8.48708e-007,-0.0003160312
-8.46708e-007,0.00015454463
-8.44708e-007,0.0018956752
-8.42708e-007,-0.00026897362
-8.40708e-007,-0.0018218739
-8.38708e-007,0.0012839266
-8.36708e-007,-0.0037512348
-8.34708e-007,0.00029571738
-8.32708e-007,-0.0003160312
-8.30708e-007,0.0012368691
-8.28708e-007,0.00043689013
-8.26708e-007,0.00076629322
-8.24708e-007,-0.0012101253
-8.22708e-007,-0.0030924286
-8.20708e-007,0.0022721359
-8.18708e-007,0.0013309842
-8.16708e-007,-0.0011630677
-8.14708e-007,-0.0029512559
-8.12708e-007,0.0029779996
-8.10708e-007,0.00010748705
-8.08708e-007,-0.0018689315
-8.06708e-007,0.00048394772
-8.04708e-007,0.0016133297
-8.02708e-007,-0.0029041983
-8.00708e-007,-0.0028100831
-7.98708e-007,0.00048394772
-7.96708e-007,0.00076629322
-7.94708e-007,0.00062512047
-7.92708e-007,-0.0020101042
-7.90708e-007,-3.3685701e-005
-7.88708e-007,0.00010748705
-7.86708e-007,0.0002486598
-7.84708e-007,-8.0743284e-005
-7.82708e-007,-0.0037982924
-7.80708e-007,0.0024133086
-7.78708e-007,0.0024603662
-7.76708e-007,-0.00073954945
-7.74708e-007,-0.0028571407
-7.72708e-007,0.0010956963
-7.70708e-007,-0.00012780087
-7.68708e-007,0.0038720937
-7.66708e-007,-0.00050426153
-7.64708e-007,0.0027427117
-7.62708e-007,-0.00073954945
-7.60708e-007,0.00038983255
-7.58708e-007,-0.001021895
-7.56708e-007,-0.0022453921
-7.54708e-007,-0.0014454132
-7.52708e-007,0.0012839266
-7.50708e-007,0.00029571738
-7.48708e-007,-0.0029041983
-7.46708e-007,0.0023191935
-7.44708e-007,0.0024133086
